noun_id;german_noun;article;plural_form;english_translation;pronunciation_ipa;example_de;example_en;category;subcategory;tags;frequency;level;difficulty;article_pattern;declension_nom;declension_acc;declension_dat;declension_gen;cultural_note
N134;Oktober;der;Oktober;October;[ɔkˈtoːbɐ];Das Oktoberfest ist nicht im Oktober.;The Oktoberfest is not in October.;Time;Months;calendar;50;8;1;Masculine;der Oktober;den Oktober;dem Oktober;des Oktobers;The Munich Oktoberfest actually starts in September.
N135;November;der;November;November;[noˈvɛmbɐ];Der November ist oft grau.;November is often gray.;Time;Months;calendar;50;8;1;Masculine;der November;den November;dem November;des Novembers;
N136;Dezember;der;Dezember;December;[deˈt͡sɛmbɐ];Im Dezember ist Weihnachten.;Christmas is in December.;Time;Months;calendar;50;8;1;Masculine;der Dezember;den Dezember;dem Dezember;des Dezembers;
N137;Montag;der;Montage;Monday;[ˈmoːnˌtaːk];Am Montag arbeite ich.;I work on Monday.;Time;Days;calendar,daily;60;8;2;Masculine;der Montag;den Montag;dem Montag;des Montags;
N138;Dienstag;der;Dienstage;Tuesday;[ˈdiːnsˌtaːk];Der Kurs ist am Dienstag.;The course is on Tuesday.;Time;Days;calendar,daily;60;8;2;Masculine;der Dienstag;den Dienstag;dem Dienstag;des Dienstags;
N139;Mittwoch;der;Mittwoche;Wednesday;[ˈmɪtˌvɔx];Mittwoch ist die Mitte der Woche.;Wednesday is the middle of the week.;Time;Days;calendar,daily;60;8;2;Masculine;der Mittwoch;den Mittwoch;dem Mittwoch;des Mittwochs;
N140;Donnerstag;der;Donnerstage;Thursday;[ˈdɔnɐsˌtaːk];Wir treffen uns am Donnerstag.;We are meeting on Thursday.;Time;Days;calendar,daily;60;8;2;Masculine;der Donnerstag;den Donnerstag;dem Donnerstag;des Donnerstags;
N141;Freitag;der;Freitage;Friday;[ˈfʁaɪ̯taːk];Freitag ist mein Lieblingstag.;Friday is my favorite day.;Time;Days;calendar,daily;60;8;2;Masculine;der Freitag;den Freitag;dem Freitag;des Freitags;
N142;Samstag;der;Samstage;Saturday;[ˈzamsˌtaːk];Am Samstag kaufe ich ein.;I go shopping on Saturday.;Time;Days;calendar,daily;60;8;2;Masculine;der Samstag;den Samstag;dem Samstag;des Samstags;Also called 'Sonnabend' in Northern and Eastern Germany.
N143;Sonntag;der;Sonntage;Sunday;[ˈzɔnˌtaːk];Am Sonntag sind die Geschäfte zu.;On Sunday the shops are closed.;Time;Days;calendar,daily;60;8;2;Masculine;der Sonntag;den Sonntag;dem Sonntag;des Sonntags;A legally protected day of rest in Germany; most stores are closed.
N144;Frühling;der;Frühlinge;spring;[ˈfʁyːlɪŋ];Im Frühling blühen die Blumen.;In spring the flowers bloom.;Time;Seasons;calendar;45;22;1;Masculine;der Frühling;den Frühling;dem Frühling;des Frühlings;
N145;Sommer;der;Sommer;summer;[ˈzɔmɐ];Ich liebe den Sommer.;I love the summer.;Time;Seasons;calendar;45;22;1;Masculine;der Sommer;den Sommer;dem Sommer;des Sommers;
N146;Herbst;der;Herbste;autumn, fall;[hɛʁpst];Im Herbst fallen die Blätter.;In autumn the leaves fall.;Time;Seasons;calendar;45;22;1;Masculine;der Herbst;den Herbst;dem Herbst;des Herbstes;
N147;Winter;der;Winter;winter;[ˈvɪntɐ];Der Winter in Deutschland kann kalt sein.;Winter in Germany can be cold.;Time;Seasons;calendar;45;22;1;Masculine;der Winter;den Winter;dem Winter;des Winters;
N148;Messer;das;Messer;knife;[ˈmɛsɐ];Das Messer ist scharf.;The knife is sharp.;Home;Kitchenware;home,food;55;6;1;Neuter;das Messer;das Messer;dem Messer;des Messers;
N149;Gabel;die;Gabeln;fork;[ˈɡaːbl̩];Die Gabel liegt links.;The fork is on the left.;Home;Kitchenware;home,food;55;6;1;Feminine;die Gabel;die Gabel;der Gabel;der Gabel;
N150;Löffel;der;Löffel;spoon;[ˈlœfl̩];Ich esse Suppe mit einem Löffel.;I eat soup with a spoon.;Home;Kitchenware;home,food;55;6;1;Masculine;der Löffel;den Löffel;dem Löffel;des Löffels;
N151;Teller;der;Teller;plate;[ˈtɛlɐ];Der Teller ist leer.;The plate is empty.;Home;Kitchenware;home,food;54;6;1;Masculine;der Teller;den Teller;dem Teller;des Tellers;
N152;Glas;das;Gläser;glass;[ɡlaːs];Ein Glas Wasser, bitte.;A glass of water, please.;Home;Kitchenware;home,food;54;6;2;Neuter;das Glas;das Glas;dem Glas;des Glases;
N153;Tasse;die;Tassen;cup;[ˈtasə];Ich hätte gern eine Tasse Tee.;I would like a cup of tea.;Home;Kitchenware;home,food;53;6;1;Feminine;die Tasse;die Tasse;der Tasse;der Tasse;
N154;Flasche;die;Flaschen;bottle;[ˈflaʃə];Eine Flasche Wein, bitte.;A bottle of wine, please.;Objects;Containers;food;53;6;1;Feminine;die Flasche;die Flasche;der Flasche;der Flasche;
N155;Wein;der;Weine;wine;[vaɪ̯n];Trinkst du gern Wein?;Do you like to drink wine?;Food & Drink;Beverages;leisure,food;52;22;1;Masculine;der Wein;den Wein;dem Wein;des Weines;
N156;Bier;das;Biere;beer;[biːɐ̯];Deutschland ist für sein Bier bekannt.;Germany is known for its beer.;Food & Drink;Beverages;leisure,food;52;22;1;Neuter;das Bier;das Bier;dem Bier;des Bieres;A major part of German culture, especially in Bavaria.
N157;Saft;der;Säfte;juice;[zaft];Ich trinke gern Apfelsaft.;I like to drink apple juice.;Food & Drink;Beverages;food;51;6;2;Masculine;der Saft;den Saft;dem Saft;des Saftes;
N158;Kuchen;der;Kuchen;cake;[ˈkuːxən];Dieser Kuchen schmeckt gut.;This cake tastes good.;Food & Drink;Desserts;food;51;22;1;Masculine;der Kuchen;den Kuchen;dem Kuchen;des Kuchens;
N159;Salz;das;(no plural);salt;[zalts];Kann ich bitte das Salz haben?;Can I have the salt, please?;Food & Drink;Ingredients;food;50;6;1;Neuter;das Salz;das Salz;dem Salz;des Salzes;
N160;Pfeffer;der;(no plural);pepper;[ˈp͡fɛfɐ];Ich brauche mehr Pfeffer.;I need more pepper.;Food & Drink;Ingredients;food;50;6;1;Masculine;der Pfeffer;den Pfeffer;dem Pfeffer;des Pfeffers;
N161;Zucker;der;(no plural);sugar;[ˈt͡sʊkɐ];Nimmst du Zucker im Kaffee?;Do you take sugar in your coffee?;Food & Drink;Ingredients;food;49;6;1;Masculine;der Zucker;den Zucker;dem Zucker;des Zuckers;
N162;Fleisch;das;(no plural);meat;[flaɪ̯ʃ];Ich esse nicht viel Fleisch.;I don't eat a lot of meat.;Food & Drink;Main;food;49;6;1;Neuter;das Fleisch;das Fleisch;dem Fleisch;des Fleisches;
N163;Fisch;der;Fische;fish;[fɪʃ];Am Freitag essen wir Fisch.;On Friday we eat fish.;Food & Drink;Main;food;48;6;1;Masculine;der Fisch;den Fisch;dem Fisch;des Fisches;
N164;Huhn;das;Hühner;chicken;[huːn];Ich hätte gern das Huhn.;I would like the chicken.;Food & Drink;Main;food;48;6;2;Neuter;das Huhn;das Huhn;dem Huhn;des Huhnes;
N165;Reis;der;(no plural);rice;[ʁaɪ̯s];Ich esse gern Reis mit Gemüse.;I like eating rice with vegetables.;Food & Drink;Side dish;food;47;6;1;Masculine;der Reis;den Reis;dem Reis;des Reises;
N166;Kartoffel;die;Kartoffeln;potato;[kaʁˈtɔfl̩];Die Kartoffel ist ein wichtiges Lebensmittel.;The potato is an important food.;Food & Drink;Vegetables;food;47;6;1;Feminine;die Kartoffel;die Kartoffel;der Kartoffel;der Kartoffel;A staple of German cuisine.
N167;Gemüse;das;Gemüse;vegetable;[ɡəˈmyːzə];Essen Sie genug Gemüse?;Do you eat enough vegetables?;Food & Drink;Vegetables;food;46;6;1;Neuter;das Gemüse;das Gemüse;dem Gemüse;des Gemüses;
N168;Salat;der;Salate;salad;[zaˈlaːt];Ich bestelle einen Salat.;I'll order a salad.;Food & Drink;Side dish;food;46;6;1;Masculine;der Salat;den Salat;dem Salat;des Salates;
N169;Obst;das;(no plural);fruit;[oːpst];Obst ist sehr gesund.;Fruit is very healthy.;Food & Drink;Fruit;food;45;6;1;Neuter;das Obst;das Obst;dem Obst;des Obstes;
N170;Orange;die;Orangen;orange;[oˈʁɑ̃ːʒə];Ich esse eine Orange.;I'm eating an orange.;Food & Drink;Fruit;food;45;6;1;Feminine;die Orange;die Orange;der Orange;der Orange;
N171;Tomate;die;Tomaten;tomato;[toˈmaːtə];Die Tomate ist rot.;The tomato is red.;Food & Drink;Vegetables;food;44;6;1;Feminine;die Tomate;die Tomate;der Tomate;der Tomate;
N172;Zwiebel;die;Zwiebeln;onion;[ˈt͡sviːbl̩];Ich schneide eine Zwiebel.;I am cutting an onion.;Food & Drink;Vegetables;food;44;6;1;Feminine;die Zwiebel;die Zwiebel;der Zwiebel;der Zwiebel;
N173;Butter;die;(no plural);butter;[ˈbʊtɐ];Ich brauche Butter für den Kuchen.;I need butter for the cake.;Food & Drink;Dairy;food;43;6;1;Feminine;die Butter;die Butter;der Butter;der Butter;
N174;Ei;das;Eier;egg;[aɪ̯];Ich esse ein Ei zum Frühstück.;I eat an egg for breakfast.;Food & Drink;Dairy;food;43;6;2;Neuter;das Ei;das Ei;dem Ei;des Eies;
N175;Frühstück;das;Frühstücke;breakfast;[ˈfʁyːˌʃtʏk];Das Frühstück ist fertig.;Breakfast is ready.;Food & Drink;Meals;daily,food;50;22;1;Neuter;das Frühstück;das Frühstück;dem Frühstück;des Frühstücks;
N176;Mittagessen;das;Mittagessen;lunch;[ˈmɪtaːkˌʔɛsn̩];Was gibt es zum Mittagessen?;What's for lunch?;Food & Drink;Meals;daily,food;50;22;1;Neuter;das Mittagessen;das Mittagessen;dem Mittagessen;des Mittagessens;
N177;Abendessen;das;Abendessen;dinner, supper;[ˈaːbəntˌʔɛsn̩];Das Abendessen ist um 19 Uhr.;Dinner is at 7 PM.;Food & Drink;Meals;daily,food;50;22;1;Neuter;das Abendessen;das Abendessen;dem Abendessen;des Abendessens;Often a smaller, cold meal in Germany called 'Abendbrot'.
N178;Beruf;der;Berufe;profession, occupation;[bəˈʁuːf];Was ist Ihr Beruf?;What is your profession?;Work & Study;Career;work;55;16;1;Masculine;der Beruf;den Beruf;dem Beruf;des Berufes;
N179;Kollege;der;Kollegen;colleague (male);[kɔˈleːɡə];Mein Kollege ist sehr hilfsbereit.;My colleague is very helpful.;People;Professions;work;54;16;3;Masculine;der Kollege;den Kollegen;dem Kollegen;des Kollegen;An n-declension noun.
N180;Büro;das;Büros;office;[byˈʁoː];Ich arbeite in einem Büro.;I work in an office.;Places;Work;work;53;16;1;Neuter;das Büro;das Büro;dem Büro;des Büros;
N181;Firma;die;Firmen;company, firm;[ˈfɪʁma];Er arbeitet für eine große Firma.;He works for a big company.;Work & Study;Organizations;work;52;16;1;Feminine;die Firma;die Firma;der Firma;der Firma;
N182;Chef;der;Chefs;boss (male);[ʃɛf];Mein Chef ist heute nicht da.;My boss isn't here today.;People;Professions;work;51;16;1;Masculine;der Chef;den Chef;dem Chef;des Chefs;
N183;Termin;der;Termine;appointment, meeting;[tɛʁˈmiːn];Ich habe einen Termin beim Arzt.;I have an appointment with the doctor.;Events;Work;daily,work;60;16;1;Masculine;der Termin;den Termin;dem Termin;des Termins;
N184;Pause;die;Pausen;break, pause;[ˈpaʊ̯zə];Wir machen eine Pause.;We're taking a break.;Time;Work;daily,work;50;16;1;Feminine;die Pause;die Pause;der Pause;der Pause;
N185;Stift;der;Stifte;pen;[ʃtɪft];Kann ich einen Stift haben?;Can I have a pen?;Work & Study;Objects;learning,work;58;8;1;Masculine;der Stift;den Stift;dem Stift;des Stiftes;
N186;Papier;das;Papiere;paper;[paˈpiːɐ̯];Ich brauche ein Blatt Papier.;I need a sheet of paper.;Work & Study;Objects;learning,work;57;8;1;Neuter;das Papier;das Papier;dem Papier;des Papiers;
N187;Heft;das;Hefte;notebook;[hɛft];Schreib das in dein Heft.;Write that in your notebook.;Work & Study;Objects;learning;56;8;1;Neuter;das Heft;das Heft;dem Heft;des Heftes;
N188;Brief;der;Briefe;letter;[bʁiːf];Ich schreibe einen Brief.;I am writing a letter.;Communication;Media;communication;55;28;1;Masculine;der Brief;den Brief;dem Brief;des Briefes;
N189;E-Mail;die;E-Mails;e-mail;[ˈiːmeɪl];Hast du meine E-Mail bekommen?;Did you get my e-mail?;Communication;Media;communication,work;65;16;1;Feminine;die E-Mail;die E-Mail;der E-Mail;der E-Mail;
N190;Zeitung;die;Zeitungen;newspaper;[ˈt͡saɪ̯tʊŋ];Ich lese die Zeitung am Morgen.;I read the newspaper in the morning.;Communication;Media;leisure,media;54;26;1;Feminine;die Zeitung;die Zeitung;der Zeitung;der Zeitung;
N191;Foto;das;Fotos;photo;[ˈfoːto];Das ist ein schönes Foto.;That is a nice photo.;Objects;Media;leisure,hobby;53;26;1;Neuter;das Foto;das Foto;dem Foto;des Fotos;
N192;Bild;das;Bilder;picture, image;[bɪlt];Das Bild hängt an der Wand.;The picture is hanging on the wall.;Objects;Media;art,home;52;23;2;Neuter;das Bild;das Bild;dem Bild;des Bildes;
N193;Licht;das;Lichter;light;[lɪçt];Mach bitte das Licht an.;Please turn on the light.;Home;Objects;daily;51;5;2;Neuter;das Licht;das Licht;dem Licht;des Lichtes;
N194;Geschenk;das;Geschenke;gift, present;[ɡəˈʃɛŋk];Danke für das Geschenk!;Thanks for the gift!;Objects;Social;common,events;50;27;1;Neuter;das Geschenk;das Geschenk;dem Geschenk;des Geschenkes;
N195;Kleid;das;Kleider;dress;[klaɪ̯t];Sie trägt ein rotes Kleid.;She is wearing a red dress.;Clothing;Garments;clothing;49;9;2;Neuter;das Kleid;das Kleid;dem Kleid;des Kleides;
N196;Rock;der;Röcke;skirt;[ʁɔk];Der Rock ist zu kurz.;The skirt is too short.;Clothing;Garments;clothing;48;9;2;Masculine;der Rock;den Rock;dem Rock;des Rockes;
N197;Mantel;der;Mäntel;coat;[ˈmantl̩];Im Winter trage ich einen Mantel.;In winter I wear a coat.;Clothing;Garments;clothing;47;9;2;Masculine;der Mantel;den Mantel;dem Mantel;des Mantels;
N198;Hut;der;Hüte;hat;[huːt];Er nimmt seinen Hut.;He takes his hat.;Clothing;Accessories;clothing;46;9;2;Masculine;der Hut;den Hut;dem Hut;des Hutes;
N199;Anzug;der;Anzüge;suit;[ˈanˌt͡suːk];Er trägt einen teuren Anzug.;He is wearing an expensive suit.;Clothing;Garments;clothing,work;45;16;2;Masculine;der Anzug;den Anzug;dem Anzug;des Anzuges;
N200;Garten;der;Gärten;garden;[ˈɡaʁtn̩];Wir sitzen im Garten.;We are sitting in the garden.;Home;Outdoors;home,leisure;48;5;2;Masculine;der Garten;den Garten;dem Garten;des Gartens;
N201;Baum;der;Bäume;tree;[baʊ̯m];Der Baum ist sehr alt.;The tree is very old.;Nature;Plants;nature;47;22;2;Masculine;der Baum;den Baum;dem Baum;des Baumes;
N202;Blume;die;Blumen;flower;[ˈbluːmə];Ich kaufe Blumen für meine Mutter.;I'm buying flowers for my mother.;Nature;Plants;nature,home;46;22;1;Feminine;die Blume;die Blume;der Blume;der Blume;
N203;Gras;das;Gräser;grass;[ɡʁaːs];Das Gras ist grün.;The grass is green.;Nature;Plants;nature;45;22;2;Neuter;das Gras;das Gras;dem Gras;des Grases;
N204;Blatt;das;Blätter;leaf, sheet (of paper);[blat];Ein Blatt Papier, bitte.;A sheet of paper, please.;Nature;Plants;nature,objects;44;22;2;Neuter;das Blatt;das Blatt;dem Blatt;des Blattes;
N205;Wald;der;Wälder;forest, woods;[valt];Wir gehen im Wald spazieren.;We are going for a walk in the forest.;Nature;Landscapes;nature,leisure;43;22;2;Masculine;der Wald;den Wald;dem Wald;des Waldes;
N206;Berg;der;Berge;mountain;[bɛʁk];Der höchste Berg Deutschlands ist die Zugspitze.;The highest mountain in Germany is the Zugspitze.;Nature;Landscapes;nature,travel;42;22;1;Masculine;der Berg;den Berg;dem Berg;des Berges;
N207;See;der;Seen;lake;[zeː];Wir schwimmen im See.;We are swimming in the lake.;Nature;Landscapes;nature,leisure;41;22;1;Masculine;der See;den See;dem See;des Sees;Note: `die See` means 'the sea/ocean'.
N208;Meer;das;Meere;sea, ocean;[meːɐ̯];Ich fahre gern ans Meer.;I like going to the sea.;Nature;Landscapes;nature,travel;40;22;1;Neuter;das Meer;das Meer;dem Meer;des Meeres;
N209;Fluss;der;Flüsse;river;[flʊs];Der Rhein ist ein langer Fluss.;The Rhine is a long river.;Nature;Landscapes;nature,geography;39;22;2;Masculine;der Fluss;den Fluss;dem Fluss;des Flusses;
N210;Insel;die;Inseln;island;[ˈɪnzl̩];Sylt ist eine Insel in der Nordsee.;Sylt is an island in the North Sea.;Nature;Landscapes;nature,travel;38;22;1;Feminine;die Insel;die Insel;der Insel;der Insel;
N211;Bein;das;Beine;leg;[baɪ̯n];Er hat sich das Bein gebrochen.;He broke his leg.;Body;Limbs;body;60;12;1;Neuter;das Bein;das Bein;dem Bein;des Beines;
N212;Arm;der;Arme;arm;[aʁm];Mein linker Arm schläft.;My left arm is asleep.;Body;Limbs;body;60;12;1;Masculine;der Arm;den Arm;dem Arm;des Armes;Also means 'poor' as an adjective.
N213;Haar;das;Haare;hair;[haːɐ̯];Sie hat lange Haare.;She has long hair.;Body;Face;body;59;11;1;Neuter;das Haar;das Haar;dem Haar;des Haares;Usually used in plural 'Haare' to refer to a head of hair.
N214;Gesicht;das;Gesichter;face;[ɡəˈzɪçt];Er hat ein freundliches Gesicht.;He has a friendly face.;Body;Face;body;58;11;2;Neuter;das Gesicht;das Gesicht;dem Gesicht;des Gesichtes;
N215;Mund;der;Münder;mouth;[mʊnt];Öffne den Mund.;Open your mouth.;Body;Face;body;57;11;2;Masculine;der Mund;den Mund;dem Mund;des Mundes;
N216;Nase;die;Nasen;nose;[ˈnaːzə];Meine Nase läuft.;My nose is running.;Body;Face;body;56;11;1;Feminine;die Nase;die Nase;der Nase;der Nase;
N217;Ohr;das;Ohren;ear;[oːɐ̯];Das Kind hat große Ohren.;The child has big ears.;Body;Face;body;55;11;2;Neuter;das Ohr;das Ohr;dem Ohr;des Ohres;
N218;Zahn;der;Zähne;tooth;[t͡saːn];Ich putze meine Zähne.;I'm brushing my teeth.;Body;Face;body,health;54;11;2;Masculine;der Zahn;den Zahn;dem Zahn;des Zahnes;
N219;Finger;der;Finger;finger;[ˈfɪŋɐ];Er hat sich in den Finger geschnitten.;He cut his finger.;Body;Limbs;body;53;10;1;Masculine;der Finger;den Finger;dem Finger;des Fingers;
N220;Rücken;der;Rücken;back;[ˈʁʏkən];Mein Rücken tut weh.;My back hurts.;Body;Torso;body,health;52;12;1;Masculine;der Rücken;den Rücken;dem Rücken;des Rückens;
N221;Bauch;der;Bäuche;belly, stomach;[baʊ̯x];Der Bauch ist voll.;The belly is full.;Body;Torso;body,health;51;12;2;Masculine;der Bauch;den Bauch;dem Bauch;des Bauches;
N222;Herz;das;Herzen;heart;[hɛʁt͡s];Mein Herz schlägt schnell.;My heart is beating fast.;Body;Torso;body,abstract;50;12;3;Neuter;das Herz;das Herz;dem Herzen;des Herzens;A special n-declension noun.
N223;Blut;das;(no plural);blood;[bluːt];Die Farbe von Blut ist rot.;The color of blood is red.;Body;Internal;body,health;49;12;1;Neuter;das Blut;das Blut;dem Blut;des Blutes;
N224;Knie;das;Knie;knee;[kniː];Ich habe Schmerzen im Knie.;I have pain in my knee.;Body;Limbs;body;48;12;1;Neuter;das Knie;das Knie;dem Knie;des Knies;
N225;Hals;der;Hälse;neck, throat;[hals];Mein Hals ist trocken.;My throat is dry.;Body;Torso;body;47;12;2;Masculine;der Hals;den Hals;dem Hals;des Halses;
N226;Stimme;die;Stimmen;voice;[ˈʃtɪmə];Sie hat eine schöne Stimme.;She has a beautiful voice.;Body;Internal;communication;46;11;1;Feminine;die Stimme;die Stimme;der Stimme;der Stimme;
N227;Kunde;der;Kunden;customer (male);[ˈkʊndə];Der Kunde hat immer Recht.;The customer is always right.;People;Professions;work,shopping;45;16;3;Masculine;der Kunde;den Kunden;dem Kunden;des Kunden;An n-declension noun.
N228;Gast;der;Gäste;guest;[ɡast];Wir haben heute Gäste.;We have guests today.;People;Social;home,leisure;44;22;2;Masculine;der Gast;den Gast;dem Gast;des Gastes;
N229;Nachbar;der;Nachbarn;neighbor (male);[ˈnaxˌbaːɐ̯];Mein Nachbar ist laut.;My neighbor is loud.;People;Social;home;43;5;3;Masculine;der Nachbar;den Nachbarn;dem Nachbarn;des Nachbarn;An n-declension noun.
N230;Mensch;der;Menschen;human being, person;[mɛnʃ];Der Mensch ist ein soziales Tier.;Man is a social animal.;People;General;common,abstract;65;11;3;Masculine;der Mensch;den Menschen;dem Menschen;des Menschen;An n-declension noun.
N231;Tier;das;Tiere;animal;[tiːɐ̯];Ich liebe Tiere.;I love animals.;Animals;General;nature;50;11;1;Neuter;das Tier;das Tier;dem Tier;des Tieres;
N232;Vogel;der;Vögel;bird;[ˈfoːɡl̩];Ein Vogel singt im Baum.;A bird is singing in the tree.;Animals;Wildlife;nature;45;22;2;Masculine;der Vogel;den Vogel;dem Vogel;des Vogels;
N233;Pferd;das;Pferde;horse;[p͡feːɐ̯t];Sie kann reiten.;She can ride a horse.;Animals;Wildlife;leisure;40;26;1;Neuter;das Pferd;das Pferd;dem Pferd;des Pferdes;
N234;Schwein;das;Schweine;pig;[ʃvaɪ̯n];Du hast Schwein gehabt!;You were lucky!;Animals;Farm;food;39;6;1;Neuter;das Schwein;das Schwein;dem Schwein;des Schweines;Idiom: 'Schwein haben' means to have good luck.
N235;Kuh;die;Kühe;cow;[kuː];Die Kuh gibt Milch.;The cow gives milk.;Animals;Farm;food;38;6;2;Feminine;die Kuh;die Kuh;der Kuh;der Kühe;
N236;Schaf;das;Schafe;sheep;[ʃaːf];Das Schaf hat weiße Wolle.;The sheep has white wool.;Animals;Farm;nature;37;22;1;Neuter;das Schaf;das Schaf;dem Schaf;des Schafes;
N237;Wetter;das;(no plural);weather;[ˈvɛtɐ];Das Wetter ist heute gut.;The weather is good today.;Nature;Weather;daily;55;22;1;Neuter;das Wetter;das Wetter;dem Wetter;des Wetters;
N238;Wind;der;Winde;wind;[vɪnt];Der Wind ist stark.;The wind is strong.;Nature;Weather;daily;50;22;1;Masculine;der Wind;den Wind;dem Wind;des Windes;
N239;Schnee;der;(no plural);snow;[ʃneː];Im Winter gibt es Schnee.;In winter there is snow.;Nature;Weather;seasons;48;22;1;Masculine;der Schnee;den Schnee;dem Schnee;des Schnees;
N240;Wolke;die;Wolken;cloud;[ˈvɔlkə];Der Himmel ist voller Wolken.;The sky is full of clouds.;Nature;Weather;daily;47;22;1;Feminine;die Wolke;die Wolke;der Wolke;der Wolke;
N241;Norden;der;(no plural);north;[ˈnɔʁdn̩];Hamburg liegt im Norden.;Hamburg is in the north.;Places;Directions;geography;35;28;1;Masculine;der Norden;den Norden;dem Norden;des Nordens;
N242;Süden;der;(no plural);south;[ˈzyːdn̩];München liegt im Süden.;Munich is in the south.;Places;Directions;geography;35;28;1;Masculine;der Süden;den Süden;dem Süden;des Südens;
N243;Westen;der;(no plural);west;[ˈvɛstn̩];Köln liegt im Westen.;Cologne is in the west.;Places;Directions;geography;35;28;1;Masculine;der Westen;den Westen;dem Westen;des Westens;
N244;Osten;der;(no plural);east;[ˈɔstn̩];Berlin liegt im Osten.;Berlin is in the east.;Places;Directions;geography;35;28;1;Masculine;der Osten;den Osten;dem Osten;des Ostens;
N245;Sinn;der;Sinne;sense, meaning;[zɪn];Das macht keinen Sinn.;That makes no sense.;Abstract;Concepts;communication;45;25;1;Masculine;der Sinn;den Sinn;dem Sinn;des Sinnes;
N246;Grund;der;Gründe;reason, ground;[ɡʁʊnt];Was ist der Grund?;What is the reason?;Abstract;Concepts;communication;44;25;2;Masculine;der Grund;den Grund;dem Grund;des Grundes;
N247;Teil;der;Teile;part, piece;[taɪ̯l];Das ist der beste Teil.;That is the best part.;Abstract;Concepts;general;43;15;1;Masculine;der Teil;den Teil;dem Teil;des Teils;Note: `das Teil` means a physical piece/part.
N248;Art;die;Arten;type, kind, way;[aʁt];Diese Art von Musik mag ich.;I like this type of music.;Abstract;Concepts;general;42;15;1;Feminine;die Art;die Art;der Art;der Art;
N249;Beispiel;das;Beispiele;example;[ˈbaɪ̯ʃpiːl];Zum Beispiel...;For example...;Communication;Language;learning;55;2;1;Neuter;das Beispiel;das Beispiel;dem Beispiel;des Beispiels;
N250;Nummer;die;Nummern;number;[ˈnʊmɐ];Was ist deine Telefonnummer?;What is your telephone number?;Communication;Data;daily;50;10;1;Feminine;die Nummer;die Nummer;der Nummer;der Nummer;
N251;Anzug;der;Anzüge;suit;[ˈanˌt͡suːk];Er trägt einen Anzug zur Arbeit.;He wears a suit to work.;Clothing;Garments;work,formal;40;16;2;Masculine;der Anzug;den Anzug;dem Anzug;des Anzuges;
N252;Boden;der;Böden;floor, ground;[ˈboːdn̩];Die Tasse fiel auf den Boden.;The cup fell on the floor.;Home;Surfaces;home;45;5;2;Masculine;der Boden;den Boden;dem Boden;des Bodens;
N253;Decke;die;Decken;ceiling, blanket;[ˈdɛkə];Das Licht ist an der Decke.;The light is on the ceiling.;Home;Surfaces;home;44;5;1;Feminine;die Decke;die Decke;der Decke;der Decke;
N254;Wand;die;Wände;wall (interior);[vant];Das Bild hängt an der Wand.;The picture hangs on the wall.;Home;Surfaces;home;43;5;2;Feminine;die Wand;die Wand;der Wand;der Wände;
N255;Treppe;die;Treppen;staircase, stairs;[ˈtʁɛpə];Die Treppe ist steil.;The staircase is steep.;Home;Structures;home;42;5;1;Feminine;die Treppe;die Treppe;der Treppe;der Treppe;
N256;Keller;der;Keller;basement, cellar;[ˈkɛlɐ];Der Wein ist im Keller.;The wine is in the cellar.;Home;Rooms;home;41;5;1;Masculine;der Keller;den Keller;dem Keller;des Kellers;
N257;Dach;das;Dächer;roof;[dax];Der Schornstein ist auf dem Dach.;The chimney is on the roof.;Home;Structures;home;40;5;2;Neuter;das Dach;das Dach;dem Dach;des Daches;
N258;Heizung;die;Heizungen;heating;[ˈhaɪ̯t͡sʊŋ];Die Heizung ist kaputt.;The heating is broken.;Home;Systems;home,daily;48;5;1;Feminine;die Heizung;die Heizung;der Heizung;der Heizung;
N259;Lärm;der;(no plural);noise;[lɛʁm];Der Lärm ist zu laut.;The noise is too loud.;Abstract;Sensory;daily;45;25;1;Masculine;der Lärm;den Lärm;dem Lärm;des Lärmes;
N260;Fehler;der;Fehler;mistake, error;[ˈfeːlɐ];Ich habe einen Fehler gemacht.;I made a mistake.;Abstract;Situation;learning;46;15;1;Masculine;der Fehler;den Fehler;dem Fehler;des Fehlers;
N261;Glück;das;(no plural);luck, happiness;[ɡlʏk];Viel Glück!;Good luck!;Abstract;Feelings;common;48;25;1;Neuter;das Glück;das Glück;dem Glück;des Glückes;
N262;Pech;das;(no plural);bad luck;[pɛç];Ich hatte Pech.;I had bad luck.;Abstract;Feelings;common;47;25;1;Neuter;das Pech;das Pech;dem Pech;des Peches;
N263;Liebe;die;(no plural);love;[ˈliːbə];Liebe ist ein starkes Gefühl.;Love is a strong feeling.;Abstract;Feelings;common;46;25;1;Feminine;die Liebe;die Liebe;der Liebe;der Liebe;
N264;Angst;die;Ängste;fear;[aŋst];Ich habe Angst vor Spinnen.;I am afraid of spiders.;Abstract;Feelings;common;45;25;2;Feminine;die Angst;die Angst;der Angst;der Angst;
N265;Wut;die;(no plural);rage, anger;[vuːt];Er war voller Wut.;He was full of rage.;Abstract;Feelings;common;44;25;1;Feminine;die Wut;die Wut;der Wut;der Wut;
N266;Hunger;der;(no plural);hunger;[ˈhʊŋɐ];Ich habe großen Hunger.;I am very hungry.;Abstract;Feelings;daily;55;8;1;Masculine;der Hunger;den Hunger;dem Hunger;des Hungers;Used with 'haben': 'Hunger haben'.
