id,day_reference,category,question_type,prompt,correct_answer,option_b,option_c,helper_text
225,23,Perfect Tense,multiple_choice,"Ich ___ um 7 Uhr aufgestanden.","bin","habe","werde","'aufstehen' is a change of state."
226,23,Perfect Tense,fill_in_blank,"Das Baby ___ eingeschlafen.","ist","hat","wird","'einschlafen' is a change of state."
227,23,Perfect Tense,multiple_choice,"Wir ___ zu Hause geblieben.","sind","haben","werden","'bleiben' is an exception that uses 'sein'."
228,23,Perfect Tense,fill_in_blank,"___ du schon in Berlin gewesen?","Bist","Hast","Wirst","'sein' (to be) uses 'sein' as its helping verb."
229,23,Perfect Tense,build_sentence,"geflogen|nach|sind|Spanien|Wir","Wir sind nach Spanien geflogen.","","","Word order with 'sein' perfect."
230,23,Perfect Tense,multiple_choice,"Er ___ Arzt geworden.","ist","hat","wird","'werden' (to become) is a change of state."
231,24,Conjunctions,multiple_choice,"Ich lerne Deutsch, ___ es ist schwer.","aber","und","denn","Connecting contrasting ideas."
232,24,Conjunctions,fill_in_blank,"Ich trinke Kaffee ___ ich esse Kuchen.","und","oder","aber","Connecting similar ideas."
233,24,Conjunctions,multiple_choice,"Ich kann nicht kommen, ___ ich bin krank.","denn","weil","aber","Giving a reason (Position 0 conjunction)."
234,24,Conjunctions,fill_in_blank,"Fahren wir nach links ___ nach rechts?","oder","und","sondern","Connecting alternatives."
235,24,Conjunctions,multiple_choice,"Das ist kein Hund, ___ eine Katze.","sondern","aber","denn","Correcting a negative statement."
236,24,Conjunctions,build_sentence,"ich|muss|arbeiten|aber|Ich|möchte|schlafen,","Ich möchte schlafen, aber ich muss arbeiten.","","","ADUSO conjunctions don't change word order."
237,24,Conjunctions,multiple_choice,"ADUSO conjunctions are called 'Position 0' because...","they don't affect the word order of the following clause.","they always come first in a sentence.","they are not important.","They stand outside the main sentence structure."
238,24,Conjunctions,fill_in_blank,"Er ist nicht Lehrer, ___ Arzt.","sondern","aber","denn","Correction: not A, but B."
239,24,Conjunctions,multiple_choice,"Which is NOT an ADUSO conjunction?","weil","denn","sondern","'weil' is a subordinating conjunction."
240,24,Conjunctions,build_sentence,"er|ist|nett|und|Er|ist|klug","Er ist nett und er ist klug.","","","Connecting two main clauses."
241,25,Conjunctions,multiple_choice,"Ich lerne Deutsch, weil ich in Deutschland ___.","arbeiten will","will arbeiten","arbeite will","Subordinating conjunctions kick the verb to the end."
242,25,Conjunctions,fill_in_blank,"Ich denke, dass du Recht ___.","hast","du hast","hast du","'dass' sends the verb to the end."
243,25,Conjunctions,build_sentence,"Wenn|schön|ist,|das|Wetter|wir|gehen|spazieren","Wenn das Wetter schön ist, gehen wir spazieren.","","","When the subordinate clause is first, the main clause starts with the verb."
244,25,Conjunctions,multiple_choice,"Er kommt nicht, weil er ___.","krank ist","ist krank","krank sein","'weil' is subordinating."
245,25,Conjunctions,fill_in_blank,"Ich weiß nicht, ob er ___.","kommt","er kommt","kommt er","'ob' (if/whether) is also subordinating."
246,25,Conjunctions,multiple_choice,"What happens to a separable verb in a 'weil' clause?","It joins together at the end.","It separates as normal.","The prefix comes first.","...weil ich dich anrufe."
247,25,Conjunctions,fill_in_blank,"Er sagt, dass er gestern ___ hat.","gearbeitet","hat gearbeitet","arbeitete","The helping verb goes to the very end."
248,25,Conjunctions,multiple_choice,"Which sentence is correct?","Ich bleibe zu Hause, weil es regnet.","Ich bleibe zu Hause, weil es regnet ist.","Ich bleibe zu Hause, denn es regnet ist.","'regnet' is the conjugated verb."
249,25,Conjunctions,build_sentence,"ich|dich|anrufe,|wenn|ich|ankomme","Ich rufe dich an, wenn ich ankomme.","","","Main clause + subordinate clause."
250,25,Conjunctions,multiple_choice,"The main difference between 'denn' and 'weil' is...","word order","meaning","politeness","'denn' = normal word order, 'weil' = verb last."
251,26,Possessives,fill_in_blank,"Das ist ___ Hund. (my)","mein","meine","meinen","Masculine nominative."
252,26,Possessives,multiple_choice,"Ich sehe ___ Katze. (your, inf.)","deine","dein","deinen","Feminine accusative."
253,26,Possessives,fill_in_blank,"Er spielt mit ___ Ball. (his)","seinem","seinen","sein","Dative case after 'mit'."
254,26,Possessives,multiple_choice,"Ist das ___ Auto? (her)","ihr","ihre","ihren","Neuter nominative."
255,26,Possessives,fill_in_blank,"Wir lieben ___ Kinder. (our)","unsere","unser","unseren","Plural accusative."
256,26,Possessives,multiple_choice,"Wo sind ___ Schlüssel? (your, formal)","Ihre","Ihr","Ihren","Plural nominative, formal 'you'."
257,26,Possessives,fill_in_blank,"Ich kenne ___ Bruder. (their)","ihren","ihr","ihre","Masculine accusative."
258,26,Possessives,multiple_choice,"Das ist ___ (your, pl. inf.) Haus.","euer","eure","euren","Neuter nominative."
259,26,Possessives,build_sentence,"Schwester|ist|Meine|nett","Meine Schwester ist nett.","","","Feminine nominative."
260,26,Possessives,fill_in_blank,"Ich helfe ___ Vater. (your, inf.)","deinem","deinen","dein","Dative case after 'helfen'."
261,27,Family,multiple_choice,"What is 'die Geschwister'?","siblings","parents","grandparents","A word for brothers and sisters together."
262,27,Family,fill_in_blank,"Mein Vater und meine Mutter sind meine ___.","Eltern","Kinder","Großeltern","Parents."
263,27,Family,multiple_choice,"The son of your uncle is your...","Cousin","Onkel","Neffe","'der Cousin'."
264,27,Family,fill_in_blank,"Meine ___ heißt Anna. (sister)","Schwester","Bruder","Tochter","Feminine family member."
265,27,Family,multiple_choice,"How do you say 'I am married'?","Ich bin verheiratet.","Ich bin ledig.","Ich bin geschieden.","Marital status."
266,27,Family,fill_in_blank,"Der Mann meiner Mutter ist mein ___.","Vater","Onkel","Bruder","Father."
267,27,Family,multiple_choice,"'Oma' and 'Opa' are informal words for...","Grandmother and Grandfather","Mother and Father","Aunt and Uncle","Commonly used by children and adults alike."
268,27,Family,build_sentence,"hat|einen|Bruder|Sie","Sie hat einen Bruder.","","","'haben' in the accusative."
269,27,Family,fill_in_blank,"Die Tochter meiner Tante ist meine ___.","Cousine","Schwester","Nichte","Female cousin."
270,27,Family,multiple_choice,"What does 'ledig' mean?","single","engaged","divorced","Marital status."
271,28,Hobbies,multiple_choice,"How do you say 'I like to read'?","Ich lese gern.","Ich gern lese.","Ich lese gut.","Using 'gern' to express enjoyment."
272,28,Hobbies,fill_in_blank,"Was machst du in deiner ___?","Freizeit","Arbeit","Schule","'Free time'."
273,28,Hobbies,multiple_choice,"He loves to cook.","Er kocht sehr gern.","Er kocht viel.","Er gern kocht.","'sehr gern' for 'love to do'."
274,28,Hobbies,fill_in_blank,"Ich spiele ___ Gitarre.","gern","gut","viel","Expressing a hobby."
275,28,Hobbies,multiple_choice,"What does 'Ich singe nicht gern' mean?","I don't like to sing.","I can't sing.","I sing badly.","Negating a preference."
276,28,Hobbies,build_sentence,"Freunde|treffe|Ich|gern","Ich treffe gern Freunde.","","","Word order with 'gern'."
277,28,Hobbies,multiple_choice,"'Fahrrad fahren' means...","to ride a bike","to drive a car","to go for a walk","A common hobby."
278,28,Hobbies,fill_in_blank,"Meine Hobbys sind Lesen und ___.","Reisen","Reise","reist","Listing hobbies as nouns."
279,28,Hobbies,multiple_choice,"What is the comparative of 'gern'?","lieber","besser","mehr","Used for 'prefer'."
280,28,Hobbies,multiple_choice,"I like coffee, but I prefer tea.","Ich mag Kaffee, aber ich trinke lieber Tee.","Ich mag Kaffee, aber ich mag lieber Tee.","Ich mag Kaffee, und ich trinke lieber Tee.","Using 'lieber' to show preference."
281,29,Writing,multiple_choice,"How do you start an informal email to a male friend named Tom?","Lieber Tom,","Liebe Tom,","Hallo Tom","'Lieber' for males."
282,29,Writing,multiple_choice,"After the greeting in an email, the first word of the letter starts with...","a lowercase letter","a capital letter","a number","A rule of German correspondence."
283,29,Writing,fill_in_blank,"Vielen Dank für ___ E-Mail. (your, inf.)","deine","dein","deinen","'die E-Mail' is feminine."
284,29,Writing,multiple_choice,"Which is a common closing for an informal email?","Viele Grüße","Mit freundlichen Grüßen","Hochachtungsvoll","'Best regards'."
285,29,Writing,build_sentence,"ich|gearbeitet|habe|viel|Letzte|Woche,","Letzte Woche, habe ich viel gearbeitet.","","","Time phrase first, then verb, then subject."
286,29,Writing,fill_in_blank,"Ich hoffe, wir können bald wieder ___.","telefonieren","telefoniert","telefoniere","With a modal verb, the main verb is infinitive at the end."
287,29,Writing,multiple_choice,"'Bis bald' means...","See you soon","Goodbye","Until tomorrow","A common closing."
288,29,Writing,fill_in_blank,"Ich muss meine Wohnung ___.","aufräumen","räume auf","aufgeräumt","Modal verb + separable verb."
289,29,Writing,multiple_choice,"How do you say 'I hope you are well' (informal)?","Ich hoffe, es geht dir gut.","Ich hoffe, Sie sind gut.","Ich hoffe, du hast gut.","A polite opening line."
290,29,Writing,multiple_choice,"Is there a comma after the closing line (e.g., 'Viele Grüße')?","No","Yes","Sometimes","No comma before your name."
291,30,Review,multiple_choice,"In a 'weil' clause, the conjugated verb goes...","to the very end.","to position 2.","to position 1.","Rule of subordinating conjunctions."
292,30,Review,multiple_choice,"The accusative case is for the...","direct object","indirect object","subject","The receiver of the action."
293,30,Review,fill_in_blank,"The dative case is for the ___ object.","indirect","direct","main","Answers 'to/for whom?'."
294,30,Review,multiple_choice,"Which verb uses 'sein' in the perfect tense?","bleiben (to stay)","kaufen (to buy)","lesen (to read)","One of the key exceptions."
295,30,Review,multiple_choice,"The only article that changes significantly in the accusative is...","der -> den","die -> der","das -> dem","The most important case rule to remember."
296,30,Review,fill_in_blank,"In a normal sentence, the verb is always in position ___.","2","1","3","The golden rule of German word order."
297,30,Review,multiple_choice,"What is the helper verb for 'Ich bin nach Hause gegangen'?","sein","haben","werden","Verb of motion."
298,30,Review,build_sentence,"du|anrufen|mich|sollst|?","Sollst du mich anrufen?","","","Question with a modal verb."
299,30,Review,multiple_choice,"The three genders in German are...","der, die, das","ein, eine, ein","er, sie, es","Masculine, Feminine, Neuter."
300,30,Review,fill_in_blank,"To say 'I like to do something', you add the word ___ after the verb.","gern","gut","viel","The most natural way to express enjoyment."
301,1,Greetings,fill_in_blank,"A very informal way to say 'Hi' is ___.","Hi","Guten Tag","Servus","Borrowed from English and very common."
302,1,Alphabet,multiple_choice,"The character 'ä' is called an...","Umlaut","Eszett","Accent","The dots change the vowel sound."
303,2,Introductions,build_sentence,"Name|ist|Mein|Schmidt","Mein Name ist Schmidt.","","","A formal way to introduce yourself."
304,2,Pronouns,fill_in_blank,"Das ist eine Katze. ___ ist klein.","Sie","Er","Es","'die Katze' is feminine, so the pronoun is 'sie'."
305,3,Numbers,fill_in_blank,"What is the number 12?","zwölf","zwei","zehn","Another unique number before 13."
306,3,Small Talk,multiple_choice,"If someone says 'Sehr gut, danke. Und Ihnen?', what is the appropriate context?","Formal","Informal","Rude","'Ihnen' is the formal dative 'you'."
307,4,Verbs,build_sentence,"müde|nicht|sind|Wir","Wir sind nicht müde.","","","Negation with 'sein'."
308,4,Verbs,multiple_choice,"'Sind Sie Herr Meier?' - 'Ja, das ___ ich.'","bin","ist","sei","Answering a question about identity."
309,5,Verbs,fill_in_blank,"Ihr ___ Durst.","habt","haben","hat","'To be thirsty' uses 'haben'."
310,5,W-Fragen,multiple_choice,"___ beginnt der Film? (When)","Wann","Wo","Was","Asking for a time."
311,6,Nouns,multiple_choice,"The word for 'school' is 'die Schule'. Why is it likely feminine?","It ends in -e.","It's a place.","It's an abstract concept.","Most nouns ending in -e are feminine."
312,6,Plurals,fill_in_blank,"The plural of 'der Apfel' is 'die ___'.","Äpfel","Apfeln","Apfele","Plural with an Umlaut change."
313,8,Verbs,fill_in_blank,"Ich ___ (fragen) dich etwas.","frage","fragst","fragt","Regular verb 'to ask'."
314,8,Verbs,multiple_choice,"Du ___ (antworten) nicht.","antwortest","antwortst","antworte","Stem ends in -t, so add extra -e-."
315,9,Cases,fill_in_blank,"Ich möchte ___ Kaffee bestellen. (a)","einen","ein","eine","'bestellen' (to order) takes an accusative object."
316,9,Cases,multiple_choice,"Er sucht ___ Wohnung. (the apartment, fem.)","die","den","der","'suchen' (to look for) takes an accusative object."
317,10,Verbs,fill_in_blank,"Du ___ (geben) mir das Buch.","gibst","gebst","gebe","Stem-changing verb e -> i."
318,10,Verbs,multiple_choice,"Das Baby ___ (schlafen) viel.","schläft","schlaft","schlafet","Stem-changing verb a -> ä."
319,11,Food & Drink,fill_in_blank,"Ich trinke meinen Kaffee ___ Zucker. (without)","ohne","mit","für","'ohne' is an accusative preposition."
320,11,Food & Drink,multiple_choice,"What is 'das Hauptgericht'?","Main course","Dessert","Appetizer","The main part of the meal."
321,12,Time,fill_in_blank,"Es ist zwanzig ___ vier. (4:20)","nach","vor","halb","'Twenty past four'."
322,12,Time,multiple_choice,"What time is 'fünf vor halb eins'?","12:25","1:25","12:35","'Five TO half TO one'."
323,13,Dates,fill_in_blank,"___ ist der erste Tag der Woche.","Montag","Sonntag","Samstag","Monday is the first day of the work week."
324,13,Dates,multiple_choice,"What is 'übermorgen'?","The day after tomorrow","Tomorrow","The day before yesterday","'über' means over/beyond."
325,15,Cases,fill_in_blank,"Ich gehe ___ dem Kino. (after)","nach","vor","mit","'nach' is a dative preposition."
326,15,Cases,multiple_choice,"Seit ___ Monat lerne ich Deutsch. (one month)","einem","einen","ein","'seit' is a dative preposition."
327,16,Modal Verbs,build_sentence,"du|schwimmen|gut|Kannst|?","Kannst du gut schwimmen?","","","Question with a modal verb."
328,16,Modal Verbs,fill_in_blank,"Wir ___ heute Abend tanzen gehen.","wollen","wolle","will","'wollen' for 'wir'."
329,17,Modal Verbs,fill_in_blank,"Man ___ das nicht machen. (should not)","sollte","soll","sollen","'sollte' is a more polite form of 'soll'."
330,17,Modal Verbs,multiple_choice,"Kinder ___ Schokolade essen, aber nicht zu viel.","dürfen","müssen","sollen","Permission."
331,18,Directions,fill_in_blank,"Die Bank ist ___ der Ecke.","um","an","in","'um die Ecke' = around the corner."
332,18,Directions,multiple_choice,"The opposite of 'links' is ___.","rechts","geradeaus","oben","'right'."
333,19,Shopping,fill_in_blank,"Der Pullover passt mir nicht. Er ist zu ___.","groß","klein","teuer","'groß' = big."
334,19,Shopping,multiple_choice,"'Das Sonderangebot' means...","special offer","sold out","new arrival","A sale or discount."
335,20,Separable Verbs,fill_in_blank,"Ich lade dich zur Party ___.","ein","an","mit","'einladen' = to invite."
336,20,Separable Verbs,multiple_choice,"Bitte ___ Sie das Fenster! (close)","machen Sie ... zu","zumachen Sie","Sie machen zu","'zumachen' = to close."
337,22,Perfect Tense,fill_in_blank,"Ich habe gestern Abend ferngesehen.","ferngesehen","fernsehen","gesehen fern","'fernsehen' is a separable verb."
338,22,Perfect Tense,multiple_choice,"Hast du das Lied ___? (gehört)","gehört","gehören","hörte","'hören' is a regular verb."
339,23,Perfect Tense,fill_in_blank,"Ich ___ gestern im Kino gewesen.","bin","habe","war","'sein' uses 'sein'."
340,23,Perfect Tense,multiple_choice,"Sie ___ schnell gelaufen.","ist","hat","lief","'laufen' (to run) is a verb of motion."
341,24,Conjunctions,build_sentence,"Ich|bin|müde,|denn|ich|habe|viel|gearbeitet","Ich bin müde, denn ich habe viel gearbeitet.","","","'denn' keeps normal word order."
342,24,Conjunctions,fill_in_blank,"Er ist reich, ___ er ist nicht glücklich.","aber","sondern","denn","Contrast."
343,25,Conjunctions,fill_in_blank,"Ich komme, wenn ich Zeit ___.","habe","habe Zeit","Zeit habe","'wenn' sends verb to the end."
344,25,Conjunctions,multiple_choice,"Sie weiß, dass er ___.","kommt","er kommt","kommen","'dass' clause."
345,26,Possessives,fill_in_blank,"Das ist ___ Tasche. (her)","ihre","ihr","ihren","Feminine nominative."
346,26,Possessives,multiple_choice,"Ich fahre mit ___ Auto. (your, formal)","Ihrem","Ihren","Ihr","Dative neuter."
347,27,Family,fill_in_blank,"Die Schwester meines Vaters ist meine ___.","Tante","Cousine","Oma","Aunt."
348,27,Family,multiple_choice,"How do you say 'my siblings'?","meine Geschwister","mein Geschwister","meinen Geschwister","'Geschwister' is plural."
349,28,Hobbies,fill_in_blank,"Er geht gern im Wald ___.","spazieren","laufen","wandern","'spazieren gehen' = to go for a walk."
350,28,Hobbies,multiple_choice,"She prefers to read.","Sie liest lieber.","Sie liest besser.","Sie liest gern.","'lieber' for preference."
351,29,Writing,fill_in_blank,"Ich schreibe dir, weil ich eine Frage ___.","habe","habe eine Frage","eine Frage habe","'weil' clause."
352,29,Writing,multiple_choice,"A formal closing for an email is...","Mit freundlichen Grüßen","Viele Grüße","Tschüss","'With friendly greetings'."
353,30,Review,multiple_choice,"The past participle of 'trinken' is...","getrunken","getrinkt","trank","Strong verb."
354,30,Review,fill_in_blank,"In a question with a modal verb, the modal verb is in position ___.","1","2","end","'Kannst du...?'"
355,1,Greetings,multiple_choice,"Which greeting can you use all day long in a formal context?","Guten Tag","Guten Morgen","Guten Abend","'Good day'."
356,1,Alphabet,multiple_choice,"How is the 'z' in 'zwanzig' pronounced?","ts","s","z","Like 'cats'."
357,2,Introductions,fill_in_blank,"Ich komme ___ den USA.","aus","in","von","'aus' for country of origin."
358,2,Pronouns,multiple_choice,"'er, sie, es' are pronouns for the...","3rd person singular","1st person singular","2nd person singular","he, she, it."
359,3,Numbers,fill_in_blank,"How do you write 21?","einundzwanzig","zwanzigeins","einsundzwanzig","'one-and-twenty'."
360,3,Small Talk,multiple_choice,"'Danke, gleichfalls!' is a good response to...","Schönes Wochenende!","Wie geht's?","Guten Appetit!","'Thanks, likewise!'."
361,4,Verbs,fill_in_blank,"Das ___ mein Freund Peter.","ist","sind","bin","'sein' for 3rd person singular."
362,4,Negation,multiple_choice,"Sind Sie müde? - Nein, ich bin ___ müde.","nicht","kein","nichts","Negating an adjective."
363,5,Verbs,fill_in_blank,"Ich ___ leider keine Zeit.","habe","bin","muss","'Unfortunately, I have no time.'"
364,5,W-Fragen,multiple_choice,"___ kostet der Kaffee?","Wie viel","Was","Wie","Asking for a price."
365,6,Nouns,multiple_choice,"The diminutive ending '-lein' (e.g., Tischlein) makes a noun...","neuter (das)","masculine (der)","feminine (die)","das Tischlein (the little table)."
366,6,Plurals,multiple_choice,"The plural of 'das Auto' is...","die Autos","die Auten","die Autoe","Plurals with -s are common for loanwords."
367,8,Verbs,fill_in_blank,"Wir ___ (warten) auf den Bus.","warten","wartet","warte","Stem ends in -t, but 'wir' form is regular."
368,9,Cases,fill_in_blank,"Ich besuche ___ Freund. (my)","meinen","mein","meinem","'besuchen' takes accusative."
369,10,Verbs,fill_in_blank,"Du ___ (waschen) das Auto.","wäschst","waschst","wascht","Stem-changing verb a -> ä."
370,11,Food & Drink,multiple_choice,"'Ein Bier vom Fass' means...","A beer on tap","A bottled beer","A light beer","'Fass' means barrel."
371,12,Time,fill_in_blank,"Es ist kurz ___ drei. (nearly 3)","vor","nach","um","'shortly before three'."
372,13,Dates,multiple_choice,"The season before summer is...","der Frühling","der Herbst","der Winter","Spring."
373,15,Cases,fill_in_blank,"Nach ___ Essen gehen wir spazieren. (the meal, n.)","dem","den","das","'nach' is dative."
374,16,Modal Verbs,fill_in_blank,"Ich ___ nicht Auto fahren. (am not able to)","kann","will","muss","Ability."
375,17,Modal Verbs,multiple_choice,"Du ___ deine Oma anrufen. (should)","sollst","musst","darfst","Recommendation."
376,18,Directions,fill_in_blank,"Der Supermarkt ist gleich ___. (nearby)","in der Nähe","neben","vor","A common phrase."
377,19,Shopping,multiple_choice,"Ich hätte gern eine Tüte. 'Die Tüte' is a...","bag","receipt","discount","Usually a plastic or paper bag."
378,20,Separable Verbs,fill_in_blank,"Der Unterricht fängt gleich ___.","an","ein","auf","'anfangen' = to begin."
379,22,Perfect Tense,fill_in_blank,"Er hat mir ___. (geholfen)","geholfen","gehilft","geholft","Irregular participle of 'helfen'."
380,23,Perfect Tense,multiple_choice,"Seid ihr gestern ___? (gereist)","gereist","reisten","gereisen","'reisen' uses 'sein'."
381,24,Conjunctions,fill_in_blank,"Ich mag Pizza ___ Pasta.","und","aber","oder","Listing two things you like."
382,25,Conjunctions,build_sentence,"ich|weiß,|dass|er|kommt|nicht","Ich weiß, dass er nicht kommt.","","","'dass' clause with negation."
383,26,Possessives,fill_in_blank,"Das ist die Tasche ___ Mutter. (of my)","meiner","meine","meines","Genitive case (advanced), but dative 'von meiner Mutter' is more common."
384,27,Family,multiple_choice,"Your mother's sister is your...","Tante","Cousine","Schwester","Aunt."
385,28,Hobbies,fill_in_blank,"Ich gehe gern ins ___.","Kino","Film","Theater","'Kino' for cinema."
386,29,Writing,multiple_choice,"'Ich freue mich auf deine Antwort' means...","I look forward to your answer.","Thanks for your answer.","Please answer soon.","A polite closing sentence."
387,30,Review,multiple_choice,"The three cases you've learned are Nominative, Accusative, and ___.","Dative","Genitive","Vocative","The main cases for A1."
388,1,Greetings,fill_in_blank,"In Switzerland, you might hear '___' as a greeting.","Grüezi","Moin","Servus","A specific Swiss-German greeting."
389,2,Introductions,multiple_choice,"'Wie ist Ihr Name?' is a formal way to ask...","What is your name?","Where are you from?","How are you?","An alternative to 'Wie heißen Sie?'."
390,3,Numbers,fill_in_blank,"The number 16 is ___.","sechzehn","sechszehn","sechzig","The 's' from 'sechs' is dropped."
391,4,Verbs,build_sentence,"sind|freundlich|Sie|sehr","Sie sind sehr freundlich.","","","Formal 'you' with an adjective."
392,5,Negation,multiple_choice,"I have no idea.","Ich habe keine Ahnung.","Ich habe nicht Ahnung.","Ich habe keine Idee.","A common idiom."
393,6,Nouns,multiple_choice,"The gender of 'Universität' (university) is...","die (feminine)","der (masculine)","das (neuter)","Nouns ending in '-tät' are feminine."
394,8,Verbs,fill_in_blank,"Er ___ (finden) seinen Schlüssel nicht.","findet","findest","finde","Stem ends in -d, so add -et for er/sie/es."
395,9,Cases,build_sentence,"den|liest|Roman|Er","Er liest den Roman.","","","'lesen' takes an accusative object."
396,10,Verbs,multiple_choice,"Du ___ (laufen) zu schnell.","läufst","laufst","lauft","Stem-changing verb au -> äu."
397,11,Food & Drink,fill_in_blank,"Zum Frühstück esse ich ___ mit Marmelade.","Brötchen","Brot","Toast","'Brötchen' (bread rolls) are very popular."
398,12,Time,multiple_choice,"'Es ist kurz nach halb sieben' means...","It's just after 6:30.","It's just after 7:30.","It's 6:35.","'shortly after half past six'."
399,13,Dates,fill_in_blank,"Der Monat vor Dezember ist ___.","November","Oktober","Januar","The 11th month."
400,15,Cases,build_sentence,"Ich|meinem|helfe|Bruder","Ich helfe meinem Bruder.","","","'helfen' takes a dative object."
401,16,Modal Verbs,fill_in_blank,"Ich ___ dich später anrufen.","will","kann","wollen","'wollen' for 'ich'."
402,17,Modal Verbs,multiple_choice,"Ihr ___ das Formular ausfüllen. (are supposed to)","sollt","müsst","dürft","'sollen' for 'ihr'."
403,18,Directions,fill_in_blank,"Die Toilette ist die Treppe ___. (down)","runter","rauf","geradeaus","'runter' is short for 'herunter'."
404,19,Shopping,multiple_choice,"This is too expensive.","Das ist zu teuer.","Das ist zu billig.","Das ist zu groß.","'teuer' = expensive."
405,20,Separable Verbs,fill_in_blank,"Ich steige in den Bus ___.","ein","aus","um","'einsteigen' = to get on/in."
406,22,Perfect Tense,multiple_choice,"Wir haben lange ___. (gewartet)","gewartet","gewartt","gewarten","'warten' is a regular verb with a -t stem."
407,23,Perfect Tense,fill_in_blank,"Er ist die Treppe ___ (runtergefallen).","runtergefallen","gefallen runter","runterfiel","'runterfallen' (to fall down) is a motion verb."
408,25,Conjunctions,multiple_choice,"Ich gehe nicht aus, weil ich ___.","lernen muss","muss lernen","lernen müsse","Modal verb at the end of a 'weil' clause."
409,26,Possessives,fill_in_blank,"Das ist das Fahrrad ___ Kindes. (of his)","seines","sein","seinen","Genitive case (advanced)."
410,27,Family,multiple_choice,"Your father's brother is your...","Onkel","Cousin","Vater","Uncle."
411,28,Hobbies,fill_in_blank,"Im Sommer gehe ich gern im See ___.","schwimmen","tauchen","fischen","'schwimmen' = to swim."
412,29,Writing,multiple_choice,"How do you write the date 'May 5th, 2025' in German?","5. Mai 2025","Mai 5, 2025","5/5/2025","Day. Month Year."
413,30,Review,fill_in_blank,"The past participle of 'geben' (to give) is ___.","gegeben","gegebt","gab","Strong verb."
414,1,Greetings,multiple_choice,"In the north of Germany, especially Hamburg, you might hear '___' all day.","Moin","Servus","Grüezi","A typical northern greeting."
415,2,Introductions,fill_in_blank,"Ich spreche ein bisschen ___.","Deutsch","Deutschland","Deutsche","The language is 'Deutsch'."
416,3,Numbers,multiple_choice,"How do you say 100?","(ein)hundert","eintausend","zehnzig","'hundred'."
417,4,Verbs,fill_in_blank,"Das ___ meine Bücher.","sind","ist","seid","Plural subject takes 'sind'."
418,5,W-Fragen,multiple_choice,"___ ist deine Telefonnummer?","Wie","Was","Welche","'Wie' is used for asking for numbers and names."
419,6,Nouns,fill_in_blank,"Nouns ending in '-heit' or '-keit', like 'Freiheit' (freedom), are always ___.","feminine","masculine","neuter","A reliable gender rule."
420,8,Verbs,multiple_choice,"Du ___ (atmen) tief ein. (breathe)","atmest","atmet","atme","Stem ends in -m, add extra -e-."
421,9,Cases,fill_in_blank,"Ich finde ___ Idee gut. (your, inf., fem.)","deine","dein","deinen","'finden' takes accusative."
422,10,Verbs,fill_in_blank,"Er ___ (tragen) eine Brille.","trägt","tragt","tragst","Stem-changing verb a -> ä."
423,11,Food & Drink,multiple_choice,"A common German dish of sausages and curried ketchup is called...","Currywurst","Bratwurst","Weißwurst","A famous fast food dish."
424,12,Time,fill_in_blank,"Es ist Punkt ___. (exactly 8)","acht","halb acht","viertel nach acht","'Punkt' means 'sharp' or 'exactly'."
425,13,Dates,multiple_choice,"Which is NOT a season?","die Zeit","der Frühling","der Sommer","'die Zeit' means 'time'."
426,15,Cases,fill_in_blank,"Ich wohne bei ___ Eltern. (my)","meinen","meine","meiner","'bei' is dative. Plural dative possessive is 'meinen'."
427,16,Modal Verbs,multiple_choice,"Ich ___ dich nicht verstehen.","kann","will","muss","'I can't understand you.'"
428,17,Modal Verbs,fill_in_blank,"Wir ___ jetzt gehen, sonst verpassen wir den Zug. (must)","müssen","sollen","dürfen","'or else we'll miss the train' implies necessity."
429,18,Directions,multiple_choice,"The building is ___ the bank and the post office.","zwischen","unter","auf","'zwischen' = between."
430,19,Shopping,fill_in_blank,"Kann ich das ___? (try on)","anprobieren","probieren","tragen","'anprobieren' is a separable verb."
431,20,Separable Verbs,multiple_choice,"Ich steige am Hauptbahnhof ___. (change trains)","um","ein","aus","'umsteigen' = to transfer/change."
432,22,Perfect Tense,fill_in_blank,"Er hat sein Handy ___. (verloren)","verloren","verliert","verlor","'verlieren' (to lose) has an inseparable prefix 'ver-'."
433,23,Perfect Tense,multiple_choice,"Was ___ passiert?","ist","hat","sei","'passieren' (to happen) uses 'sein'."
434,25,Conjunctions,fill_in_blank,"Warte, bis der Regen ___.","aufhört","hört auf","aufhören","'bis' (until) is a subordinating conjunction."
435,26,Possessives,multiple_choice,"Das ist nicht mein Stift, das ist ___. (yours, inf.)","deiner","dein","deinen","Possessive pronoun form."
436,27,Family,fill_in_blank,"Mein Bruder hat eine Tochter. Sie ist meine ___.","Nichte","Neffe","Cousine","Niece."
437,28,Hobbies,multiple_choice,"'Ich gehe gern angeln' means...","I like to go fishing.","I like to go climbing.","I like to go sailing.","'angeln' = fishing."
438,29,Writing,fill_in_blank,"Ich schreibe am ___ (1st) Mai.","ersten","erste","eins","Ordinal number in a date."
439,30,Review,multiple_choice,"The past participle of 'finden' is...","gefunden","gefindet","fand","Strong verb."
440,1,Greetings,fill_in_blank,"A common way to answer the phone is with your ___.","last name","first name","Hallo","e.g., 'Schmidt?'."
441,2,Introductions,multiple_choice,"Which language do they speak in Austria?","Deutsch","Österreichisch","Wienerisch","German is the official language."
442,3,Numbers,fill_in_blank,"The number 1,000 is ___.","(ein)tausend","eine Million","eine Milliarde","'thousand'."
